"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.130655635E0,4.435094833E0,-3.122046947E0,-1.928082943E0,5.756278933E0
1.135655635E0,4.843390465E0,-2.755950451E0,-6.982679367E-1,5.616161696E0
1.140655635E0,5.240314007E0,-2.440539122E0,1.010613441E0,5.868429230E0
1.145655635E0,5.411983013E0,-2.149159908E0,2.035456657E0,6.168592404E0
1.150655635E0,5.197171688E0,-1.834636569E0,1.685865402E0,5.763560276E0
1.155655635E0,4.882757664E0,-1.548520684E0,4.985170364E-1,5.146625880E0
1.160655635E0,4.471193790E0,-1.330030203E0,-5.450429916E-1,4.696554707E0
1.165655635E0,4.236157417E0,-1.198658824E0,-9.277172089E-1,4.499163462E0
1.170655635E0,4.573426723E0,-1.391122580E0,-7.217912674E-1,4.834504800E0
1.175655635E0,5.357248783E0,-1.645702362E0,-3.361024857E-1,5.614393615E0
1.180655635E0,5.684392929E0,-1.441565275E0,-1.491765976E-1,5.866232784E0
1.185655635E0,5.815204620E0,-1.076755524E0,9.969329834E-2,5.914891883E0
1.190655635E0,5.321208477E0,-4.712378979E-1,4.786043167E-1,5.363430516E0
1.195655635E0,4.013849735E0,3.126322031E-1,6.160306931E-1,4.072864153E0
1.200655635E0,2.244542360E0,1.011037946E0,2.600097656E-1,2.475433944E0
1.205655635E0,4.907635152E-1,1.563569903E0,-2.608222961E-1,1.659405900E0
1.210655635E0,-9.313039184E-1,1.014656425E0,-6.996688843E-1,1.544794872E0
1.215655635E0,-1.017390132E0,2.583400607E-1,-6.590900421E-1,1.239444211E0
1.220655635E0,-5.067391396E-1,-1.018750966E-1,-1.518936157E-1,5.387344071E-1
1.225655635E0,-3.597553968E-1,-2.358492315E-1,1.975774765E-1,4.733768739E-1
1.230655635E0,-2.982003689E-1,-3.514467180E-1,1.921463013E-1,4.993580446E-1
1.235655635E0,-2.128503472E-1,-3.221139312E-1,-6.436729431E-2,3.914151294E-1
1.240655635E0,-1.085454151E-1,-2.941898108E-1,-3.156757355E-1,4.449504712E-1
1.245655635E0,-6.671273708E-2,-2.990094423E-1,-3.485088348E-1,4.640211675E-1
1.250655635E0,-1.214791909E-1,-2.982622981E-1,-1.858587265E-1,3.718347193E-1
1.255655635E0,-2.310553044E-1,-2.563092709E-1,-5.890369415E-2,3.500723371E-1
1.260655635E0,-3.396670222E-1,-1.827120781E-1,-5.156993866E-2,3.891231785E-1
1.265655635E0,-3.674352467E-1,-9.800586104E-2,-1.538515091E-1,4.102244461E-1
1.270655635E0,-2.974452078E-1,-6.285151839E-2,-1.595478058E-1,3.433357939E-1
1.275655635E0,-1.976699978E-1,-9.028291702E-2,-6.483173370E-2,2.267765130E-1
1.280655635E0,-3.237820044E-2,-1.611377299E-1,1.121969223E-1,1.990021739E-1
1.285655635E0,1.466555148E-1,-2.526355982E-1,2.568731308E-1,3.889940756E-1
1.290655635E0,2.572566569E-1,-3.347514272E-1,2.987718582E-1,5.172080131E-1
1.295655635E0,2.527813315E-1,-3.548781872E-1,2.777423859E-1,5.166989087E-1
1.300655635E0,1.953414381E-1,-3.603793681E-1,1.836719513E-1,4.491847638E-1
1.305655635E0,1.369986683E-1,-3.775801659E-1,7.089805603E-2,4.078749209E-1
1.310655635E0,2.182350308E-2,-3.995914161E-1,-5.999279022E-2,4.046587451E-1
1.315655635E0,-3.020482697E-2,-4.576427639E-1,-1.923761368E-1,4.973507906E-1
1.320655635E0,-2.695503179E-3,-5.419255495E-1,-3.078842163E-1,6.232842510E-1
1.325655635E0,8.984979242E-2,-6.632975936E-1,-3.324785233E-1,7.473811954E-1
1.330655635E0,1.854893416E-1,-7.639133334E-1,-2.339963913E-1,8.201976518E-1
1.335655635E0,1.283864677E-1,-6.429845095E-1,-4.815006256E-2,6.574424637E-1
1.340655635E0,-3.324103355E-2,-3.649312556E-1,1.568603516E-1,3.986037600E-1
1.345655635E0,-1.361206025E-1,-1.666117907E-1,2.699050903E-1,3.451623748E-1
1.350655635E0,-5.502377450E-2,-1.221268773E-1,2.622861862E-1,2.945108375E-1
1.355655635E0,1.019570529E-1,-2.473793924E-1,9.883213043E-2,2.852360328E-1
1.360655635E0,1.923037767E-1,-4.003295302E-1,-1.574211121E-1,4.711962244E-1
1.365655635E0,2.816146612E-1,-6.126102209E-1,-3.948040009E-1,7.813247080E-1
1.370655635E0,4.861840904E-1,-8.453598619E-1,-4.362154007E-1,1.068312755E0
1.375655635E0,6.901215315E-1,-1.082107186E0,-3.018484116E-1,1.318459766E0
1.380655635E0,8.298000097E-1,-1.279779315E0,-7.395935059E-2,1.527047195E0
1.385655635E0,9.444111586E-1,-1.437793255E0,1.311092377E-1,1.725210570E0
1.390655635E0,1.006596327E0,-1.598953485E0,2.323703766E-1,1.903650285E0
1.395655635E0,1.002665043E0,-1.680819035E0,2.266073227E-1,1.970238740E0
1.400655635E0,1.065039158E0,-1.832072854E0,7.708072662E-2,2.120552001E0
1.405655635E0,9.760651588E-1,-2.118097067E0,-1.106252670E-1,2.334796850E0
1.410655635E0,8.054411411E-1,-2.503394365E0,-2.946109772E-1,2.646226447E0
1.415655635E0,1.071877122E0,-2.549557447E0,5.918216705E-2,2.766345291E0
1.420655635E0,1.801710725E0,-2.245477200E0,1.037922859E0,3.060328945E0
1.425655635E0,2.660480261E0,-2.168596506E0,1.218127251E0,3.642087317E0
1.430655635E0,3.371997833E0,-2.269591093E0,4.794883728E-1,4.092837917E0
1.435655635E0,4.464376450E0,-2.763825893E0,-3.256950378E-1,5.260747847E0
1.440655635E0,5.331424236E0,-3.377003431E0,-6.778202057E-1,6.347257423E0
1.445655635E0,5.948383808E0,-3.996353865E0,-5.657005310E-1,7.188472107E0
1.450655635E0,6.221142292E0,-4.325916290E0,-1.659898758E-1,7.579163266E0
1.455655635E0,6.383152008E0,-4.418958187E0,3.569030762E-1,7.771692275E0
1.460655635E0,6.173417568E0,-4.137844086E0,7.467117310E-1,7.469298264E0
